"tree.no","spp","status","dbh","x.coord","y.coord","crown.class"
306,"A. punctatum",1,8.4,44.4783316884019,0.782572070136276,3
307,"A. punctatum",1,11,44.4219885934736,6.16644382986467,3
308,"A. punctatum",1,12,40.5704491881063,37.4407745550675,2
309,"A. punctatum",1,68.2,46.8940316364897,0.647253854173321,1
310,"A. punctatum",1,13.7,47.0761858658605,9.27298616495225,3
311,"A. punctatum",1,33.4,49.0434634242958,13.5475359619996,2
312,"A. punctatum",1,49.4,54.1583115693933,0.19,2
313,"A. punctatum",1,10.5,15.8715576775047,0.28,3
314,"A. punctatum",1,36.8,41.9599014712618,22.5988954355082,1
315,"A. punctatum",1,45,51.8664906863123,11.092488662302,1
316,"A. punctatum",1,17.1,51.2082073676106,1.10884469599322,2
317,"A. punctatum",1,68.6,51.690601815207,1.87239521401641,1
318,"A. punctatum",1,51.7,46.3867610092265,22.288764233018,1
319,"A. punctatum",1,68.2,54.7716896345673,10.4921151546226,1
320,"A. punctatum",1,45,47.379440229467,19.7027464516207,1
321,"A. punctatum",1,10.2,53.6710282019125,8.35375997903169,3
322,"A. punctatum",1,15.5,53.5710282019125,8.35375997903169,3
323,"N. obliqua",2,81.9,52.275781718027,24.16350020867,2
324,"A. punctatum",1,22,42.6747456270106,3.53750923350903,2
325,"A. punctatum",1,17.8,40.7626521108169,4.56080545172412,2
326,"A. punctatum",1,13.9,51.6228882509141,5.53716543254973,3
327,"A. punctatum",1,103.2,52.4368220329461,16.1695830872794,1
328,"A. punctatum",1,6.4,58.3200265791048,3.25448726508308,3
329,"P. lingue",2,49,56.2262589501718,6.83863656580591,3
330,"L. philippiana",1,5.4,60.4093673597921,2.13424827718704,3
331,"A. punctatum",1,49.5,53.3588543533353,18.0443957692811,1
332,"P. lingue",1,77.9,59.1144365824483,7.95815155313321,1
333,"A. punctatum",1,57.2,68.9014263694662,3.2310115446616,1
334,"A. punctatum",1,8.5,62.8145874379867,5.13437946464464,3
335,"A. punctatum",2,75.6,68.9632367574458,5.34227444160453,1
336,"A. punctatum",1,25.6,59.3607615174521,4.99372399208914,2
337,"A. punctatum",1,30.6,56.7207753227632,14.2271671170138,2
338,"A. punctatum",1,12.4,70.6411659459992,1.29883499842037,3
339,"A. punctatum",1,53.5,60.6312950242515,11.3577194930935,1
340,"A. punctatum",1,46.1,62.3439464271493,10.5138308343401,2
341,"A. punctatum",1,33.1,73.0540132344321,1.03836414485502,2
342,"A. punctatum",1,15.6,62.5969166630858,10.2536358814383,3
343,"A. punctatum",1,59.5,25.1019526652636,14.3073543574673,1
344,"A. punctatum",1,53.2,74.047010154108,3.20094498792183,1
345,"A. punctatum",2,15.6,64.605609508737,16.0328774689861,3
346,"A. punctatum",1,52.4,59.5722815341907,24.1147646776184,1
347,"A. punctatum",1,67.1,75.4076464714385,4.69749683835612,1
348,"A. punctatum",1,34.5,65.4592082642995,14.8016209045273,2
349,"A. punctatum",1,36.7,58.3490718434701,26.5811934973401,1
350,"A. punctatum",1,40.9,47.2886914360388,29.0461320820879,1
351,"A. punctatum",1,20.8,57.0027425599552,25.480890024081,2
352,"L. dentata",1,6.3,66.3647786540413,13.2259164161732,3
353,"A. punctatum",1,44.8,66.7480372540153,12.6618494536065,1
354,"A. punctatum",1,53.9,68.5538390753157,12.0621309661779,1
355,"A. punctatum",1,29.7,45.9264789164727,33.920647252168,1
356,"A. punctatum",1,36.9,52.3540790000803,25.2083464279112,1
357,"L. dentata",1,5.5,60.5994411351567,28.3931923273681,3
358,"A. punctatum",1,8.7,48.215409546419,31.8316020588929,3
359,"A. punctatum",1,31.2,56.6540257862138,27.5926064493785,1
360,"A. punctatum",1,55.7,56.5463998168529,32.1505693432152,1
361,"A. punctatum",1,36.5,51.7923645799931,26.107277409837,1
362,"A. punctatum",1,27.3,50.9502657912011,32.8931979256787,2
363,"A. punctatum",1,39.6,61.0601423364763,25.1877787372315,2
364,"A. punctatum",1,29.9,53.4816320142602,33.7019385363078,2
365,"A. punctatum",1,39.2,53.2774661679321,29.9145172770453,1
366,"A. punctatum",1,14.4,62.3439464271493,25.5538308343401,3
367,"A. punctatum",1,37.9,53.9124581038185,36.3506951886886,2
368,"A. punctatum",1,48.8,51.4246741102716,29.7000492153449,1
369,"A. punctatum",1,18.7,52.5927316709284,37.5600016603206,3
370,"A. punctatum",1,14.5,60.5966783587057,28.6599035305737,2
371,"L. sempervirens",1,87.7,50.0491248589334,39.8907878765947,1
372,"A. punctatum",1,33,60.257558300327,30.3644878658908,1
373,"A. punctatum",1,33,57.252000462109,35.7705086906734,1
374,"A. punctatum",1,45.2,53.2235947086125,40.1149123446517,1
375,"A. punctatum",1,16.3,62.0008321165924,30.1708365211147,2
376,"A. punctatum",1,48.6,56.3878139331736,44.2927367626588,1
377,"L. dentata",1,14.4,57.5774009869941,36.1795932166126,3
378,"A. punctatum",1,55.2,63.2964608307709,28.6888883668733,1
379,"A. punctatum",1,50.1,59.8954941987306,45.5283289984599,1
380,"A. punctatum",1,35,56.4727536394131,40.7184992690247,1
381,"A. punctatum",1,8.3,62.050734834404,44.1125514492962,3
382,"A. punctatum",1,24.1,60.0788146281393,32.0651203069705,2
383,"A. punctatum",1,12.4,60.7534988257833,33.2582911802641,2
384,"G. avellana",1,44.4,69.6397576229601,41.7305974424385,1
385,"A. punctatum",1,56.8,71.0753419547409,38.3749197122923,1
